link,is_furnished,apartment_class
https://www.otodom.pl/pl/oferta/stylowy-apartament-duzy-balkon-garaz-ID4sOku,1,superior
https://www.otodom.pl/pl/oferta/zoliborz-kawalerka-z-ogrodkiem-i-garazem-ID4tFzS,1,standard
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-garaz-gratis-metro-szwecka-ID4tOmC,1,basic
https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-na-mokotowie-ID4tOnn,1,basic
https://www.otodom.pl/pl/oferta/bez-prowizji-2-pok-mieszkanie-na-zlotej-44-ID4tlmx,1,premium
https://www.otodom.pl/pl/oferta/krakowskie-przedmiescie-ID4sQKP,0,standard
https://www.otodom.pl/pl/oferta/luksusowe-mieszkanie-super-lokalizacja-ID4tOuJ,1,standard
https://www.otodom.pl/pl/oferta/mam-do-wynajecia-mieszkanie-3-pok-ul-gosciniec-ID4tOEX,1,standard
https://www.otodom.pl/pl/oferta/mieszaknie-3-pokoje-miejsce-w-garazu-komorka-ID4hbyf,1,standard
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-100m-metro-sluzew-ID4tOEw,0,basic
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-250m-metro-sluzew-parking-ID4nAoS,0,basic
https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-na-mokotowie-ID4tOzj,1,standard
https://www.otodom.pl/pl/oferta/mieszkanie-premium-dostepne-od-zaraz-ID4tlNt,1,premium
https://www.otodom.pl/pl/oferta/mieszkanie-z-wid-na-zes-palac-wilanow-od-1-12-ID4i0DM,1,superior
https://www.otodom.pl/pl/oferta/piekne-mieszkanie-na-warszawskim-powislu-ID4p7dG,1,standard
https://www.otodom.pl/pl/oferta/stegny-3-pokoje-widna-kuchnia-wynajme-ID4tHfK,1,basic
https://www.otodom.pl/pl/oferta/studio-na-brodnie-ul-rembielinska-19-ID4tOAT,1,standard
https://www.otodom.pl/pl/oferta/wilanow-3-pokoje-50m2-nie-zamieszkale-po-remoncie-ID4tOse,1,standard
https://www.otodom.pl/pl/oferta/136m2-wysoki-standard-ul-tamka-ID4r0ru,1,premium
