added_dt,floor,heating,latitude,longitude,elevator,building_type,safeguards,district,rent,additional_fees,area,room_number,building_height,for_renovation,balcony,terrace,garden,parking_space,separate_kitchen,utility_room,basement,gated_community,security_monitoring,building_age,cable_tv,internet,dishwasher,air_conditioning,distance_to_stop,distance_to_subway,distance_to_center,avg_price,is_furnished,apartment_class
2024-12-06,2.0,district,52.3446,21.04846,1,block_of_flats,0,Bialoleka,2499,582,37.0,2.0,2.0,0,1,0,0,0,0,0,0,1,0,8.0,1,1,1,0,0.1929929211705202,5.6673846725223065,13.012,78.75657388158653,1,standard
2024-12-06,2.0,district,52.227951,20.880627,1,block_of_flats,1,Bemowo,3000,600,40.0,2.0,5.0,0,1,0,0,1,0,0,0,1,1,2.0,1,1,1,0,0.033396772559469934,2.4361054958019337,8.963,82.62836838648943,1,standard
2024-12-06,1.0,district,52.242308,21.1200481,1,block_of_flats,0,Praga_Poludnie,2500,500,38.8,2.0,8.0,0,0,0,0,1,0,0,1,0,0,55.0,0,0,1,0,0.23087673046965,5.240732869544657,7.477,84.51423666914549,1,standard
2024-12-06,2.0,district,52.135427,21.072104,1,block_of_flats,1,Ursynow,5500,1200,83.0,3.0,5.0,0,1,0,0,1,1,0,1,0,1,25.0,1,1,1,0,0.0771215887265122,0.5712589424363773,11.25,69.40823469691539,1,standard
2024-12-06,4.0,,52.242654,20.996211,0,apartment,0,Srodmiescie,12500,1600,93.0,4.0,,0,1,0,0,1,0,0,1,0,0,,0,1,0,0,0.1194900280615984,0.39234246216332563,1.806,100.39555125521885,1,premium
2024-12-06,4.0,district,52.25472,20.97643,1,apartment,1,Wola,7200,1200,82.37,3.0,6.0,0,1,0,0,1,0,0,0,1,1,,0,0,1,0,0.1407689030187599,1.222776302053952,3.698,108.83657378188649,1,superior
2024-12-06,,district,52.2562,20.9621,0,apartment,0,Zoliborz,2900,600,30.0,1.0,,0,0,1,1,1,0,0,1,1,0,,0,1,0,0,0.2791200135945781,1.7855466441620353,4.508,99.8832572328618,1,standard
2024-12-07,1.0,district,52.26151,21.0339,1,apartment,1,Praga_Polnoc,2500,700,33.0,2.0,16.0,0,1,0,0,1,0,0,0,1,1,18.0,1,1,1,0,0.15576074296191886,0.6195550286424221,3.833,90.43791222731436,1,basic
2024-12-07,1.0,district,52.209082,21.050385,0,block_of_flats,1,Mokotow,2500,800,38.0,2.0,4.0,0,1,0,0,1,0,0,1,0,0,61.0,0,0,0,0,0.1802762312329974,2.5801204078020032,3.467,84.88257752534803,1,basic
2024-12-07,,,52.231096,21.003458,0,other,0,Srodmiescie,20000,4000,100.0,2.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0.10022864962751626,0.2463758058681585,0.615,180.3468858530227,1,premium
2024-12-07,4.0,,52.2389,21.017578,0,tenement,0,Srodmiescie,5200,0,110.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.039326096024628804,0.2143109020614574,1.087,109.3552749856755,0,standard
2024-12-07,3.0,district,52.23116,20.97431,1,apartment,0,Wola,4800,1000,46.0,2.0,7.0,0,1,0,0,0,0,0,0,1,1,10.0,0,0,1,0,0.21825001979990724,0.4615860471420577,2.586,116.31940965530016,1,standard
2024-12-07,2.0,,52.21917,21.2352,0,block_of_flats,1,Wesola,3800,500,67.2,3.0,3.0,0,1,0,0,1,1,0,1,1,0,39.0,1,1,1,0,0.31918410016794196,13.40322593548293,15.235,72.93109255266724,1,standard
2024-12-07,4.0,district,52.185519,20.995157,1,apartment,0,Mokotow,5500,1379,60.0,3.0,8.0,0,1,0,0,1,0,1,1,1,1,7.0,1,1,1,1,0.09775963635952793,1.4886588296681393,5.048,105.15574934765665,1,standard
2024-12-07,7.0,district,52.172651,21.024786,1,block_of_flats,0,Mokotow,2800,1000,46.0,2.0,11.0,0,1,0,0,1,1,0,1,0,0,,0,0,0,0,0.09617724375056143,0.09617724375056143,6.401,78.79504586482008,0,basic
2024-12-07,4.0,district,52.172005,21.03057,1,block_of_flats,0,Mokotow,3000,1000,46.0,2.0,11.0,0,1,0,0,1,1,0,0,0,1,,0,1,1,0,0.16800624278202084,0.29156746994057064,6.536,77.52099154633402,0,basic
2024-12-07,9.0,district,52.19227,21.00877,1,block_of_flats,0,Mokotow,2250,700,36.0,2.0,10.0,1,0,0,0,0,1,0,1,0,0,61.0,0,1,0,0,0.13940049977666666,0.6124352811928151,4.169,87.11681021831929,1,standard
2024-12-07,5.0,,52.17114,20.98948,0,other,0,Ursynow,9500,1000,85.7,3.0,7.0,0,1,1,0,1,0,0,0,0,0,3.0,0,0,1,0,0.49842571724591583,2.307218117089589,6.693,101.77531923441549,1,premium
2024-12-07,4.0,district,52.165685,21.079738,1,apartment,1,Wilanow,5500,950,57.0,2.0,4.0,0,1,0,0,1,0,0,0,1,1,9.0,0,0,1,1,0.24128322322246623,2.852576819881109,8.477,97.86598554538313,1,superior
2024-12-07,6.0,,52.230255,21.036335,1,block_of_flats,1,Srodmiescie,3250,750,38.0,2.0,8.0,0,1,0,0,0,1,0,1,0,1,,0,0,0,0,0.17908757116621474,1.0648841400495026,1.645,106.68467632943673,1,standard
2024-12-07,1.0,district,52.178851,21.046883,1,block_of_flats,0,Mokotow,2850,750,56.0,3.0,12.0,0,1,0,0,0,0,0,0,0,1,45.0,0,0,0,0,0.15131490150752525,1.4944755480476954,6.128,97.45444439443219,1,basic
2024-12-07,5.0,district,52.292057,21.026805,1,block_of_flats,0,Targowek,2700,350,26.0,1.0,10.0,0,0,0,0,1,0,0,0,0,0,52.0,0,0,0,0,0.12173155273596988,0.12173155273596988,7.005,88.42973779382403,1,standard
2024-12-07,4.0,district,52.170161,21.069315,1,block_of_flats,1,Wilanow,4200,599,50.0,3.0,8.0,0,1,0,0,0,0,0,1,1,1,57.0,1,1,1,0,0.10465498445468767,2.7146526919913265,7.68,92.86215837190032,1,standard
2024-12-08,3.0,,52.23689,21.025952,0,other,0,Srodmiescie,21000,2300,136.69,4.0,,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.027057610344934136,0.322753112770364,1.231,123.55383670219915,1,premium
2024-12-08,4.0,district,52.28094,20.919428,1,block_of_flats,1,Bielany,2600,600,41.0,2.0,14.0,0,0,0,0,0,0,0,0,1,1,8.0,0,0,0,0,0.1520481508449976,1.2091098506144602,8.505,81.73805147518269,1,standard
