added_dt,last_update,link,floor,heating,advertiser_type,location,latitude,longitude,approximate_coordinates,elevator,building_type,safeguards,district,rent,additional_fees,area,room_number,students_allowed,non_smoker_only,building_height,for_renovation,balcony,terrace,garden,parking_space,separate_kitchen,utility_room,basement,gated_community,security_monitoring,building_age,cable_tv,internet,dishwasher,air_conditioning
2025-01-19,,https://www.otodom.pl/pl/oferta/3-pokoje-kabaty-ul-jezewskiego-bezposrednio-ID.4utIw,1.0,district,owner,"ul. Kazimierza Jeżewskiego, Kabaty, Ursynów, Warszawa, mazowieckie",52.135681,21.067329,0,0,block_of_flats,0,Ursynow,4300,1100,72.0,3.0,0,0,5.0,0,1,0,0,1,0,0,1,1,1,19.0,0,0,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/35-m2-mokotow-2-pokoje-2700-zl-ID4utFV,8.0,district,owner,"ul. Bernardyńska, Czerniaków, Mokotów, Warszawa, mazowieckie",52.194035,21.062092,0,1,block_of_flats,1,Mokotow,2700,480,35.0,2.0,1,1,12.0,0,0,0,0,0,1,0,1,0,0,45.0,1,0,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/60m-z-klimatyzacja-i-balkonem-16m-200m-od-metra-ID4utZQ,3.0,district,owner,"ul. Sokołowska, Młynów, Wola, Warszawa, mazowieckie",52.235641,20.959406,0,1,apartment,1,Wola,5200,900,60.0,3.0,0,1,4.0,0,1,1,0,1,0,0,1,0,1,14.0,1,1,1,1
2025-01-19,,https://www.otodom.pl/pl/oferta/aleja-niepodleglosci-metro-wierzbno-36-m2-ID4utJl,2.0,district,agency,"al. Aleja Niepodległości, Wierzbno, Mokotów, Warszawa, mazowieckie",52.191047,21.015511,0,1,block_of_flats,1,Mokotow,1900,500,36.0,1.0,1,0,10.0,0,0,0,0,1,1,1,1,0,1,58.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/bez-prowizji-4-pokojowe-wilanow-ID4utWa,,,agency,"Powsinek, Wilanów, Warszawa, mazowieckie",52.15613,21.11163,1,0,other,0,Wilanow,16000,3200,150.0,4.0,0,0,,0,1,1,0,1,0,0,0,0,1,,0,0,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokojowy-klimatyzowany-apartament-ID.4utKC,1.0,district,owner,"ul. Sarmacka 19, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",52.157065,21.08196,0,1,block_of_flats,1,Wilanow,4300,0,59.0,2.0,0,0,5.0,0,1,1,0,1,0,0,0,1,1,17.0,1,1,1,1
2025-01-19,,https://www.otodom.pl/pl/oferta/bezposrednio-60-m-kamienica-po-remoncie-ID4utNI,1.0,district,owner,"ul. Przemysłowa, Solec, Śródmieście, Warszawa, mazowieckie",52.222965,21.036463,0,0,tenement,1,Srodmiescie,6300,1450,60.0,2.0,0,0,3.0,0,0,0,0,0,1,0,0,0,0,89.0,0,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/bezposrednio-bezprowizji-swietnalokalizacja-cisza-ID.4utWn,1.0,other,agency,"ul. Bitwy Warszawskiej 1920 r., Szczęśliwice, Ochota, Warszawa, mazowieckie",52.212225,20.97262,0,1,tenement,0,Ochota,3000,0,43.0,2.0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,69.0,0,0,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/bezposrednio-kawalerka-30m2-blisko-metra-zielono-ID4utW4,4.0,district,owner,"ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie",52.231348,20.941845,0,0,block_of_flats,0,Wola,2400,600,30.0,1.0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/blisko-centrum-doskonala-komunikacja-ID.4uJ0g,1.0,,agency,"ul. Antoniego Solariego, Filtry, Ochota, Warszawa, mazowieckie",52.21845,20.99829,0,0,other,0,Ochota,2500,0,23.0,1.0,0,0,2.0,0,0,0,0,0,0,0,1,0,0,89.0,0,0,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/centrum-72-m-kw-ul-zarezerwowane-ID4uqtF,7.0,district,agency,"ul. Złota, Mirów, Wola, Warszawa, mazowieckie",52.229453,20.995283,0,1,tenement,0,Wola,3000,1300,72.0,2.0,0,0,7.0,0,1,1,0,0,1,0,0,1,0,63.0,0,0,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/kameralne-idealne-dla-ciebie-ID4uKsH,2.0,,agency,"Grochów, Praga-Południe, Warszawa, mazowieckie",52.23992,21.09953,1,1,block_of_flats,0,Praga_Poludnie,2400,600,22.0,1.0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/kawalerka-25-mkw-na-starym-zoliborzu-2300-zl-ID4utNm,1.0,district,owner,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",52.26798,20.98908,1,0,tenement,0,Zoliborz,2300,560,25.0,1.0,1,0,2.0,0,0,0,0,0,0,0,1,1,0,95.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/kawalerka-26-m2-bemowo-tramwaj-metro-blisko-ID.4uu2w,9.0,district,owner,"Górce, Bemowo, Warszawa, mazowieckie",52.24091,20.91133,1,1,block_of_flats,0,Bemowo,2300,480,26.0,1.0,1,1,9.0,0,0,0,0,0,0,0,0,0,0,38.0,0,0,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/kawalerka-na-wynajem-26m-mokotow-metro-raclawicka-ID4utDJ,2.0,district,owner,"ul. Wiktorska 78, Stary Mokotów, Mokotów, Warszawa, mazowieckie",52.199185,21.010641,0,0,block_of_flats,0,Mokotow,2300,550,26.0,1.0,0,0,2.0,0,1,0,0,0,1,0,0,0,0,75.0,0,0,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/kawalerka-w-apartamentowcu-ID4utMv,4.0,district,owner,"ul. Grójecka, Stara Ochota, Ochota, Warszawa, mazowieckie",52.211236,20.976454,0,1,apartment,1,Ochota,2700,0,21.7,1.0,1,1,12.0,0,0,1,0,0,0,0,0,1,1,15.0,0,0,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/kawalerka-z-oddzielna-kuchnia-i-balkonem-bemowo-ID4utQM,4.0,district,agency,"Górce, Bemowo, Warszawa, mazowieckie",52.24091,20.91133,1,1,apartment,1,Bemowo,2400,700,31.1,1.0,0,1,5.0,0,1,0,0,0,1,0,0,1,1,7.0,0,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/kolejowa-45b-39-m-kw-m-garazowe-bezposrednio-ID4utKI,1.0,,owner,"ul. Kolejowa, Czyste, Wola, Warszawa, mazowieckie",52.227231,20.981424,0,0,block_of_flats,0,Wola,3900,850,39.0,2.0,0,0,,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-tuz-przy-metro-kabaty-ID4utDo,3.0,district,agency,"ul. Pod Lipą, Kabaty, Ursynów, Warszawa, mazowieckie",52.128027,21.062155,0,0,block_of_flats,0,Ursynow,3800,0,82.0,3.0,0,0,3.0,0,1,0,0,1,1,0,0,0,1,25.0,0,0,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/luksusowy-apartament-w-srodmiesciu-ID.4utZP,9.0,district,agency,"ul. Grzybowska, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",52.237282,21.002346,0,1,apartment,1,Srodmiescie,16000,2000,110.0,4.0,0,0,10.0,0,0,0,0,1,0,0,0,0,1,15.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-42m2-woloska-80-mokotow-ID4utWJ,3.0,district,agency,"ul. Wołoska, Stary Mokotów, Mokotów, Warszawa, mazowieckie",52.199357,21.001433,0,0,block_of_flats,0,Mokotow,2600,1000,42.0,2.0,1,1,4.0,0,0,0,0,0,1,0,0,0,0,72.0,0,0,1,1
2025-01-19,,https://www.otodom.pl/pl/oferta/mieszkanie-46m2-warszawa-krasnobrodzka-ID4utWI,7.0,district,owner,"ul. Krasnobrodzka 13, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",52.299836,21.041488,0,1,block_of_flats,0,Targowek,2700,800,46.0,2.0,1,0,10.0,0,1,0,0,0,1,0,0,0,0,36.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/mieszkanie-bliska-wola-ID4uu1N,6.0,,owner,"ul. Marcina Kasprzaka, Czyste, Wola, Warszawa, mazowieckie",52.227944,20.958622,0,1,apartment,0,Wola,2900,400,24.0,1.0,0,0,,0,1,0,0,1,0,0,0,0,0,,0,1,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-47-m2-praga-pld-goclawek-ID4utL2,5.0,district,owner,"ul. Łukowska 9, Gocławek, Praga-Południe, Warszawa, mazowieckie",52.235218,21.108847,0,1,block_of_flats,1,Praga_Poludnie,2800,650,47.0,2.0,0,1,12.0,0,1,0,0,0,1,0,0,0,0,,0,0,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/mieszkanie-na-woli-przy-gieldowej-metro-tramwaje-ID4utLt,3.0,district,agency,"ul. Giełdowa, Czyste, Wola, Warszawa, mazowieckie",52.23091,20.975799,0,0,apartment,1,Wola,1800,500,31.0,1.0,1,0,8.0,0,0,0,0,1,1,1,1,1,1,10.0,1,1,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/mieszkanie-przy-racjonalizacji-garaz-komorka-ID4utLU,3.0,district,agency,"ul. Racjonalizacji, Służewiec, Mokotów, Warszawa, mazowieckie",52.188212,20.991986,0,1,apartment,1,Mokotow,2200,700,43.0,2.0,1,0,11.0,0,1,0,0,1,0,1,1,1,1,6.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/mokotowapartament-czerska-i-gagarina-garaz-cicho-ID4ukAm,4.0,district,agency,"ul. Czerska 18, Sielce, Mokotów, Warszawa, mazowieckie",52.206618,21.045035,0,1,apartment,1,Mokotow,2700,900,58.0,2.0,0,0,6.0,0,1,1,0,1,0,0,0,1,1,15.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/plac-konesera-do-wynajecia-96m2-ID4utNw,3.0,district,agency,"Szmulowizna, Praga-Północ, Warszawa, mazowieckie",52.255174,21.043061,1,0,tenement,1,Praga_Polnoc,8500,1000,96.0,3.0,0,0,3.0,1,0,0,0,0,0,0,0,0,1,115.0,0,0,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-bezposrednio-czynsz-w-cenie-ID4utIV,3.0,district,owner,"ul. Komputerowa, Służewiec, Mokotów, Warszawa, mazowieckie",52.175812,20.991743,0,0,block_of_flats,0,Mokotow,3099,1,27.0,1.0,0,0,8.0,0,1,0,0,0,0,0,0,0,0,3.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/przytulne-stylowe-i-wygodne-mieszkanie-65-m-3-pok-ID4utPZ,5.0,district,owner,"Okęcie, Włochy, Warszawa, mazowieckie",52.17991,20.94782,1,1,block_of_flats,1,Wlochy,5200,920,65.0,3.0,0,1,6.0,0,1,0,0,0,0,1,0,0,1,3.0,0,0,1,1
2025-01-19,,https://www.otodom.pl/pl/oferta/studio-kawalerka-na-xi-pietrze-29-m-kw-targowa-4-ID4utUs,10.0,district,owner,"ul. Targowa 4, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",52.2633,21.02832,0,1,block_of_flats,0,Praga_Polnoc,2500,630,29.0,1.0,0,0,11.0,0,0,0,0,0,1,1,0,1,0,,0,0,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/stylowe-mieszkanie-z-wyjsciem-do-ogrodka-ID4utOu,1.0,district,owner,"ul. Korczyńska, Sadyba, Mokotów, Warszawa, mazowieckie",52.189324,21.051373,0,0,block_of_flats,0,Mokotow,3000,970,49.0,2.0,0,1,3.0,0,0,0,1,0,0,0,0,0,0,50.0,0,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/super-kawalerka-32-metry-mokotow-woronicza-ID4uoQE,2.0,district,owner,"Służewiec, Mokotów, Warszawa, mazowieckie",52.188439,20.991517,1,1,block_of_flats,1,Mokotow,2850,550,32.0,1.0,0,1,,0,1,0,0,0,1,1,0,1,1,,0,0,0,0
2025-01-19,,https://www.otodom.pl/pl/oferta/targowek-kawalerka-bezposrednio-od-wlasciciela-ID4utSx,1.0,district,owner,"Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",52.269108,21.046438,1,0,block_of_flats,0,Targowek,2500,580,31.56,1.0,0,0,12.0,0,1,0,0,0,0,0,0,0,0,49.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/towarowa-balkon-garaz-metro-tramwaje-komorka-ID4utIL,4.0,district,agency,"ul. Towarowa, Czyste, Wola, Warszawa, mazowieckie",52.23504,20.980262,0,1,apartment,1,Wola,2300,600,38.0,2.0,1,0,7.0,0,1,0,0,1,0,1,1,1,1,13.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-w-kamienicy-stary-mokotow-ID4uu01,1.0,district,owner,"ul. Puławska 69, Stary Mokotów, Mokotów, Warszawa, mazowieckie",52.202013,21.023877,0,1,tenement,0,Mokotow,3900,0,39.0,2.0,0,0,5.0,0,1,0,0,0,0,0,0,0,0,,0,0,1,0
