stop_id,stop_code,stop_name,stop_lat,stop_lon
268,2,Chełmska,52.2037490000,21.0496770000
271,3,Gołkowska,52.1929700000,21.0576270000
272,2,Limanowskiego,52.1909241000,21.0593248500
274,2,Sadyba,52.1827640000,21.0684580000
286,1,Augustówka,52.1949730000,21.0878220000
297,2,Jeziorko Czerniakowskie,52.1919650000,21.0677870000
299,1,Klarysewska,52.1848200000,21.0608600000
309,1,Wyczółki,52.1582500000,21.0023800000
311,1,Madalińskiego-Szpital,52.2042680000,21.0158430000
316,2,Os. Domaniewska,52.1838170000,21.0202410000
318,3,Smoluchowskiego,52.1798710000,21.0151700000
219,2,Dworkowa,52.2061160000,21.0228930000
221,2,Malczewskiego,52.1952370000,21.0244680000
229,2,Bogatki,52.1329080000,21.0181810000
231,2,Pelikanów,52.1236500000,21.0183940000
249,1,Dominikańska,52.1769190000,21.0359050000
253,1,Królowej Marysieńki,52.1677150000,21.0765450000
257,2,Pałacowa,52.1475660000,21.0932900000
262,2,Gąsek,52.1211350000,21.0938850000
276,2,Łowcza,52.1755360000,21.0775810000
277,1,Kosiarzy,52.1708620000,21.0819220000
281,1,Siekierkowska,52.2087920000,21.0773750000
292,1,Stępińska,52.2066580000,21.0370250000
296,1,Os. Bernardyńska,52.1922430000,21.0643820000
298,1,Sypniewska,52.1905830000,21.0757170000
305,1,Arbuzowa,52.1675940000,21.0437920000
308,2,Łączyny,52.1567500000,21.0026310000
315,2,Ksawerów,52.1872270000,21.0182450000
326,3,Teligi,52.1547190000,21.0508400000
331,4,Metro Ursynów,52.1619710000,21.0293790000
336,1,Metro Stokłosy,52.1564870000,21.0351850000
339,1,Magellana,52.1550870800,21.0422067400
347,2,Vogla-Morysin,52.1612820000,21.1007960000
360,2,Urząd Miasta,52.0743010000,21.0283450000
362,1,PKP Piaseczno,52.0652820000,21.0190950000
365,2,Zielona,52.0768700000,21.0485600000
368,1,Sobieskiego,52.0884840000,21.1214530000
374,2,Polna,52.0966980000,21.1167010000
375,1,Małcużyńskiego,52.1390570000,21.0551690000
377,2,Zaściankowa,52.1670800000,21.1080000000
380,1,Zaolziańska,52.1607730000,21.0210160000
390,2,Śniadeckich,52.0848810000,21.0754430000
396,2,Odyńca,52.1972000000,21.0132270000
397,2,Polskie Radio,52.1936640000,21.0148680000
404,1,Konstruktorska,52.1848430000,21.0018770000
405,1,Domaniewska,52.1827020000,21.0019470000
407,2,Cybernetyki,52.1762650000,21.0027150000
413,1,Postępu,52.1788610000,20.9983830000
429,1,Metro Natolin,52.1400120000,21.0586080000
430,2,Mielczarskiego,52.1311460000,21.0613760000
431,1,Rybałtów,52.1316770000,21.0559350000
432,1,Południowa,52.0961650000,21.1229620000
433,1,Hołubcowa,52.1559970000,21.0000940000
279,2,Figowa,52.2123970000,21.0678050000
280,2,Łososiowa,52.2117140000,21.0741820000
283,2,Antoniewska,52.2003680000,21.0779010000
290,1,Zawodzie,52.1845214400,21.0807382500
291,1,Santocka,52.1826450000,21.0776170000
294,1,Zakrzewska,52.2021560000,21.0420960000
302,2,Wróbla,52.1735130000,21.0307230000
304,2,Nowoursynowska,52.1709900000,21.0418600000
306,1,SGGW-Rektorat,52.1624650000,21.0478180000
307,1,Tango,52.1539670000,21.0118710000
319,2,Metro Wierzbno,52.1895970000,21.0169160000
325,3,Strzeleckiego,52.1571850000,21.0462090000
